"date","Temperature","Humidity","Light","CO2","HumidityRatio","Occupancy"
"2015-02-07 13:44:00",22.89,17,171.75,438.5,0.00292699396655477,0
"2015-02-07 13:45:00",22.79,17,157,440.25,0.00290922565055317,0
"2015-02-07 13:46:00",22.8233333333333,17.0666666666667,139.333333333333,446,0.00292662356242996,0
"2015-02-07 13:46:59",22.79,17.0666666666667,164.666666666667,444.333333333333,0.00292068794987191,0
"2015-02-07 13:47:59",22.79,17.1,150,443.5,0.00292641925721679,0
"2015-02-07 13:49:00",22.76,17.1,149.666666666667,441.666666666667,0.00292107574107174,0
"2015-02-07 13:50:00",22.7225,17.075,154,439.5,0.00291012764085475,0
"2015-02-07 13:51:00",22.73,17.0333333333333,160.666666666667,441,0.00290432031391607,0
"2015-02-07 13:52:00",22.7,17.075,143.25,446.5,0.00290613955773023,0
"2015-02-07 13:53:00",22.7,17.1,151,441.5,0.00291041442997302,0
"2015-02-07 13:53:59",22.7,17.0333333333333,153.333333333333,441.666666666667,0.00289901490062831,0
"2015-02-07 13:54:59",22.7,17.025,157,439.5,0.00289758998870293,0
"2015-02-07 13:56:00",22.7,17.05,144.75,442.5,0.00290186474397394,0
"2015-02-07 13:57:00",22.7,17.1,115,443.75,0.00291041442997302,0
"2015-02-07 13:58:00",22.65,17.1,131,445,0.00290155614553475,0
"2015-02-07 13:59:00",22.6,17.1,140,443.25,0.00289272156796585,0
"2015-02-07 13:59:59",22.6,17.1,167.666666666667,444,0.00289272156796585,0
"2015-02-07 14:00:59",22.6,17.125,168.75,436.5,0.00289697039025201,0
"2015-02-07 14:02:00",22.6,17.1333333333333,176,437,0.00289838667718696,0
"2015-02-07 14:03:00",22.6,17.175,163,445.75,0.00290546820816037,0
"2015-02-07 14:04:00",22.6,17.2,170,446,0.00290971720378491,0
"2015-02-07 14:05:00",22.6,17.175,163.25,443.75,0.00290546820816037,0
"2015-02-07 14:06:00",22.6,17.1,151,442.25,0.00289272156796585,0
"2015-02-07 14:06:59",22.6,17.1666666666667,140.666666666667,446,0.00290405188912572,0
"2015-02-07 14:08:00",22.6,17.15,138.5,446.25,0.00290121927031646,0
"2015-02-07 14:09:00",22.6,17.175,142.5,443,0.00290546820816037,0
"2015-02-07 14:10:00",22.6,17.1666666666667,139,439.333333333333,0.00290405188912572,0
"2015-02-07 14:10:59",22.6,17.2225,158.5,441.5,0.00291354134925042,0
"2015-02-07 14:12:00",22.55,17.2225,157,440.5,0.00290466671455287,0
"2015-02-07 14:12:59",22.6,17.2,148,442.5,0.00290971720378491,0
"2015-02-07 14:13:59",22.55,17.245,139,444,0.00290847920413449,0
"2015-02-07 14:15:00",22.5,17.245,139,444,0.00289961666908634,0
"2015-02-07 14:16:00",22.5,17.34,151.75,443.75,0.0029156650794581,0
"2015-02-07 14:17:00",22.5,17.39,142,445,0.00292411194232605,0
"2015-02-07 14:18:00",22.5,17.365,126.5,447.5,0.00291988848234862,0
"2015-02-07 14:19:00",22.5,17.39,120,444.333333333333,0.00292411194232605,0
"2015-02-07 14:19:59",22.4725,17.365,123,443,0.00291499004828762,0
"2015-02-07 14:21:00",22.445,17.365,121.5,441.5,0.00291009883974994,0
"2015-02-07 14:22:00",22.5,17.39,117,437,0.00292411194232605,0
"2015-02-07 14:23:00",22.4725,17.39,126,440,0.00291920638984859,0
"2015-02-07 14:23:59",22.39,17.3233333333333,124,439.666666666667,0.00289334643800711,0
"2015-02-07 14:25:00",22.39,17.315,123,437,0.00289194813183905,0
"2015-02-07 14:25:59",22.39,17.34,138,436,0.00289614306911706,0
"2015-02-07 14:26:59",22.39,17.39,116,442.75,0.00290453311264054,0
"2015-02-07 14:28:00",22.39,17.39,122.75,441.5,0.00290453311264054,0
"2015-02-07 14:29:00",22.39,17.4175,128.25,442,0.00290914773261095,0
"2015-02-07 14:30:00",22.365,17.39,126.5,441,0.00290009948519122,0
"2015-02-07 14:31:00",22.3566666666667,17.5,119,442.333333333333,0.00291704408520697,0
"2015-02-07 14:31:59",22.39,17.525,110,442.25,0.00292718735554075,0
"2015-02-07 14:32:59",22.39,17.6,125,442.666666666667,0.00293977375579381,0
"2015-02-07 14:34:00",22.365,17.6,116,442,0.00293528608255412,0
"2015-02-07 14:35:00",22.29,17.6,119,438,0.00292185917958549,0
"2015-02-07 14:36:00",22.29,17.6,116,440.5,0.00292185917958549,0
"2015-02-07 14:37:00",22.34,17.6,107,445,0.00293080443339284,0
"2015-02-07 14:38:00",22.29,17.6,107,439.5,0.00292185917958549,0
"2015-02-07 14:38:59",22.29,17.6,118,440.666666666667,0.00292185917958549,0
"2015-02-07 14:39:59",22.29,17.675,100,440.5,0.00293436902381121,0
"2015-02-07 14:41:00",22.29,17.7,100,440,0.0029385390831873,0
"2015-02-07 14:42:00",22.29,17.7,100,442.75,0.0029385390831873,0
"2015-02-07 14:43:00",22.29,17.7,100,443,0.0029385390831873,0
"2015-02-07 14:44:00",22.2225,17.675,99.5,443.5,0.00292227923054319,0
"2015-02-07 14:44:59",22.2,17.7,87,445.5,0.00292240610175194,0
"2015-02-07 14:45:59",22.2,17.7,87,444.5,0.00292240610175194,0
"2015-02-07 14:47:00",22.2,17.7,105,441.25,0.00292240610175194,0
"2015-02-07 14:48:00",22.2,17.7,105,442,0.00292240610175194,0
"2015-02-07 14:49:00",22.175,17.745,90.5,440.25,0.00292539194050672,0
"2015-02-07 14:50:00",22.15,17.745,97.75,441.25,0.00292091895741881,0
"2015-02-07 14:51:00",22.175,17.79,93.25,441.5,0.00293284549682129,0
